1 75 75 3 0 15 15 0 0 0 1 0 3 5
2 50 50 4 0 20 20 0 0 0 1 0 6 10
3 200 200 7 0 25 25 0 0 0 1 0 1 20
4 150 150 5 1 50 50 1 0 0 1 0 5 30
6 400 400 5 0 50 50 0 0 0 0 0 5 30 
5 150 150 6 2 30 30 1 1 0 0 0 5 40 
7 50 50 8 0 15 15 0 0 0 0 0 3 15 
8 200 200 10 5 50 50 0 0 0 0 0 3 50 
9 150 150 8 3 45 45 0 0 0 0 0 2 40 
10 50 50 5 10 100 100 0 0 0 0 2 3 75 
11 100 100 5 0 30 30 0 2 0 1 0 10 55 
12 250 250 5 0 50 50 0 0 0 2 1 7 60 
13 50 50 10 0 45 45 2 0 0 1 0 8 65 
14 35 35 5 10 25 25 0 0 2 2 0 15 70 
15 500 500 10 10 100 100 2 2 0 0 2 3 100 
16 75 75 10 2 75 75 2 0 2 0 0 20 120 
17 500 500 7 5 150 150 0 2 0 0 0 5 100 
18 200 200 8 3 100 100 0 0 0 2 0 5 100 
19 75 75 10 0 115 115 0 0 2 0 2 15 120 
20 500 500 20 20 50 50 1 1 1 1 0 5 150 
21 100 100 15 10 200 200 0 0 0 0 0 5 150 
22 500 500 10 10 150 150 0 0 0 1 1 10 150 
23 25 25 50 10 5 5 1 1 1 1 0 2 200 
24 300 300 10 5 80 80 1 1 0 0 1 10 150 
25 1000 1000 15 5 150 150 0 1 1 0 0 10 175 
26 50 50 10 20 150 150 0 2 2 0 0 20 175 
27 800 800 50 20 250 250 0 0 0 0 1 10 250 
28 200 200 40 40 200 200 1 0 1 0 0 15 200 
29 1000 1000 75 25 500 500 1 1 0 0 1 7 200 
30 2500 2500 50 50 500 500 1 0 1 0 2 25 500 
